cpi_2002,cpi_deflator_2002,municipality,police_provider_2024,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj,general_govt_exp,police_exp,fire_protection_exp,water_cost_exp,emergency_exp,other_protection_exp,transportation_exp,environ_health_exp,public_health_exp,environ_dev_exp,rec_and_culture_exp,debt_exp,transfers_exp,deficits_exp,total_exp,warrant_rev,uncond_grant_rev,other_govt_serv_rev,sale_of_serv_rev,own_source_rev,cond_transfer_rev,other_transfer_rev,biennial_surplus_rev,total_rev
104.9,0.9532888465204956,Alma,PPSA,290,312,0.01255709663010046,15677589,14945270.734032411,54060.65172413793,51535.416324249694,57762.0,25810,25847,0,1200,1000,69700,27642,100,7695,30000,2050.0,0,1008,249814.0,196865,19483,10113,15000,250,7399,704,0,249814
104.9,0.9532888465204956,Aroostook,PPSA,380,397,0.01230003507626063,8267700,7881506.196377502,21757.105263157893,20740.805779940794,35634.0,33820,13200,9572,0,0,29391,21775,0,0,700,335.0,4500,3343,152270.0,101693,37236,0,400,10002,0,2939,0,152270
104.9,0.9532888465204956,Atholville,MPSA,1381,1376,0.0119500004334972,138409200,131943946.61582458,100223.89572773353,95542.32195208152,389768.0,122909,106100,166876,4000,7700,352664,82529,0,94493,286991,230408.0,14000,2835,1861273.0,1653990,119473,0,3100,84332,0,378,0,1861273
104.9,0.9532888465204956,Baker-Brook,PPSA,599,629,0.0131499718236995,21649400,20638131.553860817,36142.57095158598,34454.30977272257,94108.0,53311,41746,38738,0,0,98144,15050,0,11141,14434,43887.0,0,0,410559.0,284689,65116,40636,0,8800,0,155,11163,410559
104.9,0.9532888465204956,Balmoral,PPSA,1836,1975,0.01414056267020083,52088097,49655001.90657769,28370.42320261438,27045.208010118567,194027.0,165404,62771,172067,2500,0,258441,93122,0,23900,48700,18524.0,0,0,1039456.0,736555,182274,91526,0,5658,0,62,23381,1039456
104.9,0.9532888465204956,Bas-Caraquet,PPSA,1689,1775,0.01394821103824083,42736520,40740247.85510009,25302.853759621077,24120.92827418596,216400.0,150321,27000,40000,0,4000,204750,65000,0,27026,56400,98595.0,86,0,889578.0,596098,201646,50425,1950,20461,3494,15000,504,889578
104.9,0.9532888465204956,Bath,PPSA,592,629,0.01390014204459704,20209146,19265153.479504287,34137.07094594595,32542.488985649135,62835.0,52688,35885,0,0,2200,73178,26220,0,17096,64409,7688.0,136,26805,369140.0,280910,44324,1063,34670,6293,0,1880,0,369140
104.9,0.9532888465204956,Bathurst,municipal,12924,13815,0.01656000017460308,730800415,696663884.6520495,56545.99311358712,53904.66455060736,2005721.0,3122707,1415295,449383,500,108383,3236806,268045,0,420306,2104415,2377196.0,65000,285517,15859274.0,12102055,2348373,157833,863600,332747,0,54666,0,15859274
104.9,0.9532888465204956,Belledune,PPSA,1923,2060,0.01009883553223697,291514897,277897899.9046711,151593.8101924077,144512.68845796728,545453.0,425000,158060,16180,373135,7000,812900,147700,0,305700,224700,361000.0,72720,0,3449548.0,2943961,40828,395135,47037,6400,13400,1534,1253,3449548
104.9,0.9532888465204956,Beresford,municipal,4414,4720,0.01549678418495304,144256897,137518490.94375595,32681.671273221567,31155.07271041141,338563.0,742527,64922,0,300,22849,581069,187949,0,48637,393702,556353.0,1500,0,2938371.0,2235518,452016,68508,86496,550,90460,140,4683,2938371
