municipality,general_govt_exp,general_govt_exp_adj,general_govt_exp_capita,general_govt_exp_capita_adj,police_exp,police_exp_adj,police_exp_capita,police_exp_capita_adj,fire_protection_exp,fire_protection_exp_adj,fire_protection_exp_capita,fire_protection_exp_capita_adj,water_cost_exp,water_cost_exp_adj,water_cost_exp_capita,water_cost_exp_capita_adj,emergency_exp,emergency_exp_adj,emergency_exp_capita,emergency_exp_capita_adj,other_protection_exp,other_protection_exp_adj,other_protection_exp_capita,other_protection_exp_capita_adj,transportation_exp,transportation_exp_adj,transportation_exp_capita,transportation_exp_capita_adj,environ_health_exp,environ_health_exp_adj,environ_health_exp_capita,environ_health_exp_capita_adj,public_health_exp,public_health_exp_adj,public_health_exp_capita,public_health_exp_capita_adj,environ_dev_exp,environ_dev_exp_adj,environ_dev_exp_capita,environ_dev_exp_capita_adj,rec_and_culture_exp,rec_and_culture_exp_adj,rec_and_culture_exp_capita,rec_and_culture_exp_capita_adj,debt_exp,debt_exp_adj,debt_exp_capita,debt_exp_capita_adj,transfers_exp,transfers_exp_adj,transfers_exp_capita,transfers_exp_capita_adj,deficits_exp,deficits_exp_adj,deficits_exp_capita,deficits_exp_capita_adj,total_exp,total_exp_adj,total_exp_capita,total_exp_capita_adj
Alma,71822.0,61968.93874029335,238.61129568106313,205.87687289134004,34521,29785.159620362378,114.68770764119601,98.95401867230026,45000,38826.57463330457,149.5016611295681,128.99194230333742,0,0.0,0.0,0.0,1200,1035.3753235547886,3.9867109634551494,3.4397851280889986,1000,862.8127696289904,3.3222591362126246,2.866487606740832,99886,86182.91630716134,331.8471760797342,286.3219810869148,37494,32350.301984469366,124.56478405315615,107.47608632714075,100,86.28127696289904,0.33222591362126247,0.2866487606740832,9456,8158.757549611733,31.41528239202658,27.105506809341307,44044,38001.72562553926,146.32558139534885,126.25158015129321,5346.0,4612.597066436583,17.760797342192692,15.32424274563649,0,0.0,0.0,0.0,5361,4625.539257981018,17.81063122923588,15.3672400597376,355230.0,306496.9801553063,1180.1661129568106,1018.2623925425459
Aroostook,48038.0,41447.79982743744,138.83815028901734,119.79132898103306,38406,33137.187230371004,111.0,95.77221742881792,19032,16421.052631578947,55.005780346820806,47.45968968664435,6000,5176.876617773943,17.341040462427745,14.962071149635673,0,0.0,0.0,0.0,0,0.0,0.0,0.0,32092,27689.38740293356,92.7514450867052,80.02713122235133,22049,19024.15875754961,63.725433526011564,54.98311779638615,0,0.0,0.0,0.0,0,0.0,0.0,0.0,800,690.2502157031923,2.3121387283236996,1.994942819951423,350.0,301.98446937014666,1.0115606936416186,0.8727874837287476,10000,8628.127696289905,28.90173410404624,24.936785249392788,0,0.0,0.0,0.0,176767.0,152516.82484900777,510.8872832369942,440.8000718179415
Atholville,407424.0,351530.6298533218,309.3576309794989,266.9177143912846,146187,126132.01035375323,111.0,95.77221742881794,119400,103019.84469370147,90.66059225512528,78.22311669984926,151081,130354.6160483175,114.7160212604404,98.97844802453872,4000,3451.2510785159616,3.0372057706909645,2.6205399229430233,2900,2502.1570319240723,2.201974183750949,1.8998914441336918,471428,406754.0983606557,357.955960516325,308.84897369829594,94666,81679.03364969802,71.8800303720577,62.01900808633107,0,0.0,0.0,0.0,151217,130471.95858498705,114.81928625664389,99.06754638191879,286373,247086.2812769629,217.44343204252087,187.61296983824062,349928.0,301922.3468507334,265.70083523158695,229.25007353890157,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2184604.0,1884904.227782571,1658.7729688686409,1431.210499455255
Baker-Brook,100686.0,86873.16652286453,191.78285714285715,165.47269813878958,58275,50280.41415012942,111.0,95.77221742881794,56780,48990.50905953408,108.15238095238095,93.31525535149349,25250,21786.02243313201,48.095238095238095,41.497185586918114,0,0.0,0.0,0.0,0,0.0,0.0,0.0,105740,91233.82226056945,201.40952380952382,173.77870906775132,18015,15543.572044866263,34.31428571428572,29.606803894983358,0,0.0,0.0,0.0,21206,18296.80759275237,40.392380952380954,34.851062081433085,13345,11514.236410698877,25.419047619047618,21.93187887752167,43700.0,37704.91803278688,83.23809523809524,71.81889149102263,0,0.0,0.0,0.0,0,0.0,0.0,0.0,442997.0,382223.4685073339,843.8038095238095,728.0447019187312
Balmoral,317031.0,273538.39516824845,185.8329425556858,160.33903585477634,189366,163387.4029335634,111.0,95.77221742881794,76003,65576.35893011217,44.55041031652989,38.43866291331311,150000,129421.91544434856,87.92497069167644,75.86278748203316,0,0.0,0.0,0.0,3675,3170.83692838654,2.1541617819460726,1.8586382933098125,253960,219119.9309749784,148.862837045721,128.4407567262476,95443,82349.43917169973,55.94548651817116,48.270480170984605,0,0.0,0.0,0.0,22744,19623.813632441757,13.331770222743259,11.502821589942414,33300,28731.665228645383,19.519343493552167,16.841538821011362,106013.0,91469.37014667816,62.14126611957796,53.61627792888521,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1247535.0,1076389.1285591025,731.2631887456038,630.9432172093216
Bas-Caraquet,265252.0,228862.81276962897,180.32087015635622,155.58314940151527,163281,140880.9318377912,111.0,95.77221742881795,42160,36376.186367558235,28.66077498300476,24.728882642799615,0,0.0,0.0,0.0,1275,1100.0862812769628,0.8667573079537729,0.7478492734717627,4000,3451.2510785159616,2.719238613188307,2.3461937991270982,288093,248570.31924072476,195.84840244731475,168.9805025429808,80322,69302.84728213977,54.6036709721278,47.1127445833717,0,0.0,0.0,0.0,60944,52583.261432269195,41.430319510537046,35.74660872350047,86200,74374.46074201897,58.59959211420802,50.56047637118897,100274.0,86517.68766177738,68.16723317471109,58.81555925341766,45000,38826.57463330457,30.591434398368456,26.394680240179856,0,0.0,0.0,0.0,1136801.0,980846.419327006,772.8082936777703,666.7888642603712
Bath,84549.0,72949.95685936151,165.134765625,142.48038449094045,56832,49035.375323554785,111.0,95.77221742881794,35839,30922.34685073339,69.998046875,60.39520869283865,0,0.0,0.0,0.0,0,0.0,0.0,0.0,9923,8561.691113028472,19.380859375,16.722052955133734,54618,47125.1078515962,106.67578125,92.04122627264883,36684,31651.423641069887,71.6484375,61.81918679896462,0,0.0,0.0,0.0,23107,19937.014667817082,45.130859375,38.93948177308024,63937,55165.66005176876,124.876953125,107.74542978861086,20971.0,18094.046591889557,40.958984375,35.33993474978429,0,0.0,0.0,0.0,273,235.54788610871438,0.533203125,0.4600544650560828,386733.0,333678.17083692836,755.337890625,651.7151774158757
Bathurst,2586965.0,2232066.4365832615,203.47372974673587,175.5597323095219,4471772,3858301.98446937,351.7203083215353,303.46877335766635,1757134,1516077.6531492665,138.20465628441087,119.24474226437522,724383,625006.902502157,56.97522416234073,49.15895095974178,4707,4061.259706643658,0.37022180273714017,0.31943209899666963,195556,168728.21397756686,15.381154632688375,13.271056628721634,4556873,3931728.2139775665,358.4137958156363,309.2439998409286,353550,305047.4547023296,27.80792826805097,23.993035606601353,0,0.0,0.0,0.0,599844,517553.06298533216,47.17980179329873,40.707335455822886,2778712,2397508.196721311,218.55529337737926,188.57229799601316,2985881.0,2576256.25539258,234.84985055843953,202.63145000728173,75000,64710.95772217428,5.899008966493629,5.0897402644466165,241952,208759.27523727348,19.03036023281422,16.419637819511838,21332329.0,18405805.867126834,1677.861333962561,1447.6801846096298
Belledune,806244.0,695637.6186367557,471.21215663354764,406.56786594784086,522500,450819.6721311475,305.3769725306838,263.48315145011543,192660,166229.5081967213,112.60081823495032,97.15342384378802,15261,13167.385677308022,8.919345412039743,7.695725118239639,15000,12942.191544434856,8.766803039158386,7.5641096110080985,7000,6039.689387402933,4.091174751607247,3.529917818470446,931502,803711.8205349438,544.4196376388077,469.73221539155105,163000,140638.48144952545,95.26592635885447,82.19665777295468,0,0.0,0.0,0.0,369000,318377.91199309746,215.66335476329633,186.0770964307992,329000,283865.40120793786,192.2852133255406,165.90613746811096,513628.0,443164.7972389991,300.19170075978957,259.00923275219117,350000,301984.46937014663,204.55873758036236,176.4958909235223,0,0.0,0.0,0.0,4214795.0,3636578.9473684207,2463.3518410286383,2125.411424528592
Beresford,612574.0,528536.6695427092,143.66181988742963,123.95325270701436,991955,855871.4408973252,232.63484990619136,200.72031915978545,112214,96819.67213114754,26.316604127579737,22.706302094546796,200000,172562.5539257981,46.90431519699813,40.4696421026731,0,0.0,0.0,0.0,27907,24078.515962036236,6.544793621013133,5.646931510796491,731447,631101.8119068162,171.54010318949344,148.00699153536965,191134,164912.85591026745,44.825046904315194,38.6756228682616,0,0.0,0.0,0.0,85559,73821.3977566868,20.065431519699814,17.312710543313038,504719,435477.9982743744,118.36749530956848,102.12898646209531,689722.0,595100.9490940466,161.7546904315197,139.56401245169948,20026,17278.68852459016,4.696529080675422,4.052225263740657,0,0.0,0.0,0.0,4167257.0,3595562.553925798,977.3116791744841,843.2369966992959
