municipality,warrant_rev,warrant_rev_adj,warrant_rev_capita,warrant_rev_capita_adj,uncond_grant_rev,uncond_grant_rev_adj,uncond_grant_rev_capita,uncond_grant_rev_capita_adj,other_govt_serv_rev,other_govt_serv_rev_adj,other_govt_serv_rev_capita,other_govt_serv_rev_capita_adj,sale_of_serv_rev,sale_of_serv_rev_adj,sale_of_serv_rev_capita,sale_of_serv_rev_capita_adj,own_source_rev,own_source_rev_adj,own_source_rev_capita,own_source_rev_capita_adj,cond_transfer_rev,cond_transfer_rev_adj,cond_transfer_rev_capita,cond_transfer_rev_capita_adj,other_transfer_rev,other_transfer_rev_adj,other_transfer_rev_capita,other_transfer_rev_capita_adj,biennial_surplus_rev,biennial_surplus_rev_adj,biennial_surplus_rev_capita,biennial_surplus_rev_capita_adj,total_rev,total_rev_adj,total_rev_capita,total_rev_capita_adj
Alma,419427,319685.21341463417,1969.1408450704225,1500.8695465475782,4310,3285.060975609756,20.23474178403756,15.422821481735944,17264,13158.536585365853,81.05164319248826,61.77716706744532,22000,16768.29268292683,103.28638497652582,78.7243787930837,4500,3429.878048780488,21.12676056338028,16.10271384403985,0,0.0,0.0,0.0,0,0.0,0.0,0.0,11093,8455.030487804877,52.07981220657277,39.69497881598534,478594,364782.01219512196,2246.9201877934274,1712.5916065498684
Aroostook,119763,91282.77439024391,391.38235294117646,298.30972022955524,109861,83735.51829268293,359.02287581699346,273.6454846166109,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2000,1524.3902439024391,6.5359477124183005,4.981667463733461,0,0.0,0.0,0.0,0,0.0,0.0,0.0,20200,15396.341463414634,66.01307189542484,50.31484138370795,251824,191939.0243902439,822.9542483660131,627.2517136936075
Atholville,2950241,2248659.298780488,826.3980392156863,629.8765542802487,290668,221545.73170731709,81.41960784313726,62.05762792922047,1783,1358.9939024390244,0.49943977591036415,0.38067056090728973,53000,40396.34146341463,14.84593837535014,11.315501810480288,147787,112642.53048780488,41.396918767507,31.552529548404728,0,0.0,0.0,0.0,85273,64994.66463414634,23.885994397759102,18.205788412926147,2208,1682.9268292682927,0.6184873949579832,0.47140807542529206,3530960,2691280.487804878,989.0644257703082,753.8600806176129
Baker-Brook,408178,311111.2804878049,723.7198581560284,551.6157455457534,102365,78022.10365853658,181.49822695035462,138.33706322435563,56000,42682.92682926829,99.29078014184397,75.67894827884449,19060,14527.439024390244,33.794326241134755,25.757870610620998,4500,3429.878048780488,7.9787234042553195,6.081344058121433,0,0.0,0.0,0.0,0,0.0,0.0,0.0,20816,15865.853658536585,36.90780141843972,28.130946203079052,610919,465639.48170731706,1083.1897163120568,825.6019179207749
Balmoral,1365755,1040971.7987804879,815.863201911589,621.846952676516,121951,92950.45731707317,72.85005973715651,55.525960165515635,161345,122976.37195121951,96.38291517323775,73.46258778448,100000,76219.51219512195,59.73715651135006,45.53136929218754,9550,7278.963414634147,5.704898446833931,4.3482457674039106,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1758601,1340397.1036585367,1050.5382317801673,800.7151156861031
Bas-Caraquet,967255,737237.0426829269,741.1915708812261,564.9325997570321,212802,162196.6463414634,163.06666666666666,124.28861788617886,91155,69477.89634146342,69.85057471264368,53.239767311466224,8000,6097.5609756097565,6.130268199233717,4.672460517708625,14841,11311.737804878048,11.372413793103448,8.667998317914213,1000,762.1951219512196,0.7662835249042146,0.5840575647135782,65000,49542.68292682927,49.808429118773944,37.963741706382585,2345,1787.34756097561,1.7969348659003832,1.369614989253341,1362398,1038413.1097560975,1043.983141762452,795.7188580506495
Bath,325319,247956.55487804877,683.4432773109244,520.9171320967412,105894,80711.89024390244,222.46638655462183,169.56279463004714,35739,27240.091463414636,75.08193277310924,57.227082906333266,13985,10659.298780487805,29.380252100840337,22.393484832957572,10725,8174.542682926829,22.531512605042018,17.17340899774544,12552,9567.073170731708,26.369747899159663,20.098893215822915,0,0.0,0.0,0.0,393,299.5426829268293,0.8256302521008403,0.6292913506866161,504607,384608.993902439,1060.0987394957983,808.0020880303341
Bathurst,18373494,14004187.5,1544.3804320416912,1177.119231739094,3639211,2773788.8719512196,305.8931663444566,233.15027922595777,1194795,910666.9207317074,100.42825922501471,76.54592928735877,1176900,897027.4390243903,98.92409851222997,75.39946532944359,457348,348588.4146341463,38.44229637723796,29.300530775333808,0,0.0,0.0,0.0,0,0.0,0.0,0.0,19775,15072.408536585366,1.6621837438009581,1.266908341311706,24861523,18949331.55487805,2089.7304362444315,1592.7823446984994
Belledune,4481052,3415435.975609756,3162.351446718419,2410.328846584161,344927,262901.6768292683,243.42060691601975,185.53399917379554,37380,28490.853658536587,26.379675370501058,20.106459886052637,106800,81402.43902439025,75.37050105857445,57.44702824586467,13500,10289.634146341463,9.527170077628794,7.261562559168287,8600,6554.878048780488,6.0691601976005645,4.62588429695165,0,0.0,0.0,0.0,32248,24579.268292682926,22.757939308398026,17.345990326522884,5024507,3829654.725609756,3545.876499647142,2702.6497710725166
Beresford,4269265,3254012.9573170734,995.6308302238806,758.8649620608846,788591,601060.2134146341,183.90648320895522,140.1726243970695,72031,54901.67682926829,16.798274253731343,12.803562693392792,78100,59527.439024390245,18.213619402985074,13.882331862031307,3300,2515.2439024390246,0.769589552238806,0.5865774026210412,19200,14634.146341463415,4.477611940298507,3.4128139788860574,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5230487,3986651.676829268,1219.7964085820895,929.7228723948853
