municipality,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj
Alma,213,232,0.01522412763632866,27550150,20998589.93902439,129343.42723004695,98584.92929119432
Aroostook,306,351,0.01209996160762998,9897800,7544054.87804878,32345.75163398693,24653.774111270523
Atholville,3570,3780,0.01358321178502893,217197600,165546951.2195122,60839.663865546216,46371.695019471204
Baker-Brook,564,585,0.01578316886812881,25861600,19711585.36585366,45853.90070921986,34949.61944300294
Balmoral,1674,1719,0.01429099850890732,95567500,72841082.31707317,57089.30704898447,43513.19134831133
Bas-Caraquet,1305,1380,0.01449498953249124,66730300,50861509.146341465,51134.32950191571,38974.33651060649
Bath,476,532,0.01459998249720067,22282150,16983346.036585364,46811.23949579832,35679.29839618774
Bathurst,11897,12275,0.01775000038642624,1035126400,788968292.6829269,87007.34638984618,66316.57499226081
Belledune,1417,1548,0.01159542334236329,386450056,294550347.5609756,272724.1044460127,207868.98204726577
Beresford,4288,4351,0.01559267193560834,273799450,208688605.18292683,63852.483675373136,48668.05158183928
Bertrand,1166,1137,0.01438000504632287,59052900,45009832.317073174,50645.71183533448,38601.914508639085
Blacks Harbour,894,982,0.01558485196577277,64550950,49200419.20731708,72204.64205816555,55034.02595896765
Blackville,958,990,0.01346251366052549,48451650,36929611.280487806,50575.83507306889,38548.65478130251
Bouctouche,2361,2423,0.01305500204529746,212683000,162105945.12195122,90081.74502329521,68659.86663360916
Cambridge-Narrows,562,620,0.01067299895387146,96068500,73222942.07317074,170940.39145907474,130289.93251453868
Campbellton,6883,7385,0.01776300067735993,571409650,435525647.86585367,83017.52869388348,63275.555406923384
Canterbury,336,336,0.01381403920254649,13430250,10236471.036585366,39970.982142857145,30465.68760888502
Cap-Pelé,2425,2256,0.01299999974353431,194957850,148595922.25609756,80394.98969072165,61276.66897158662
Caraquet,4248,4169,0.01501699954719875,378201250,288263147.86585367,89030.42608286253,67858.55646559644
Centreville,557,542,0.01347593132381931,35610600,27142225.609756097,63932.85457809695,48729.30989184218
Charlo,1310,1324,0.01450599845729153,80637400,61461432.92682927,61555.26717557252,46917.124371625396
Chipman,1104,1236,0.01359999332237089,65891650,50222294.20731708,59684.465579710144,45491.20852112054
Clair,781,857,0.01238213251740789,74729050,56958117.37804878,95683.80281690141,72929.7277567846
Dalhousie,3126,3512,0.01764205247699359,222905300,169897332.31707317,71306.87779910429,54349.754420049
Dieppe,25384,23310,0.01619435637400056,2989354185,2278471177.5914636,117765.29250709109,89760.13148406333
Doaktown,792,793,0.01385000722595563,55356000,42192073.17073171,69893.93939393939,53272.819660014786
Dorchester,1096,1167,0.01572663270956359,58151800,44323018.29268293,53058.211678832115,40440.71012106107
Drummond,737,775,0.01260291915310669,54587750,41606516.76829268,74067.50339213025,56453.88978058708
Edmundston,16580,16032,0.01634999964020507,1375783700,1048615625.0,82978.51025331725,63245.81574185766
Eel River Crossing,1953,2025,0.01263332420025007,81936550,62451638.719512194,41954.198668714795,31977.285570666765
Florenceville-Bristol,1604,1639,0.01289899768696993,210503100,160444435.97560975,131236.34663341646,100027.70322668937
Fredericton,58220,56224,0.01412616380548567,7029225653,5357641503.810976,120735.58318447269,92024.07254914078
Fredericton Junction,704,752,0.01329199058413942,40442400,30825000.0,57446.59090909091,43785.51136363636
Gagetown,711,698,0.0145342538381842,61676300,47009375.0,86745.85091420535,66117.26441631505
Grand Bay-Westfield,4964,5117,0.01370032186756698,371379450,283063605.18292683,74814.55479452055,57023.28871533579
Grand Falls/Grand-Sault,5326,5706,0.01469002282900001,532852950,406137919.20731705,100047.49342846413,76255.71145462205
Grand Manan,2360,2377,0.01169825060231348,192943550,147060632.62195122,81755.74152542373,62313.827382182724
Grande-Anse,899,738,0.01476001522427462,37046100,28236356.707317073,41208.12013348164,31408.628150519547
Hampton,4289,4292,0.01259999891192948,358432650,273195617.3780488,83570.21450221496,63696.80983400531
Hartland,957,947,0.01546266808624401,85283600,65002743.90243903,89115.56948798329,67923.4523536458
Harvey,358,363,0.01335435358929279,19822150,15108346.036585366,55369.13407821229,42202.08390107644
Hillsborough,1277,1350,0.01346015101503237,83177150,63397217.98780488,65134.80814408771,49645.43303665222
Lac Baker,690,719,0.0112276653630335,58810000,44824695.12195122,85231.88405797101,64963.326263697425
Lamèque,1285,1432,0.01499957476747512,90538700,69008155.48780487,70458.13229571984,53702.844737591346
Le Goulet,793,817,0.01587963247432604,24411900,18606631.097560976,30784.237074401008,23463.59533109833
Maisonnette,495,573,0.01449000413621949,25385500,19348704.268292684,51283.83838383838,39088.29145109633
McAdam,1151,1284,0.01591331929418059,49718100,37894893.29268293,43195.56907037359,32923.45203534573
Meductic,173,228,0.01247900690995704,13581850,10352019.81707317,78507.80346820809,59838.26483857324
Memramcook,4778,4831,0.0139120013788787,305013052,232479460.36585367,63836.9719547928,48656.22862407988
Millville,273,307,0.01480511616641514,10734600,8181859.756097561,39320.87912087912,29970.18225676762
Minto,2305,2505,0.01240802617491331,104662658,79773367.37804878,45406.79305856833,34608.836172689276
Miramichi,17537,17811,0.01729900004409476,1457089250,1110586318.597561,83086.57410047328,63328.181479019266
Moncton,71889,69074,0.01649699998438491,8081924600,6160003506.097561,112422.27044471337,85687.70613164129
Nackawic,941,1049,0.01397817083631204,90992950,69354382.62195122,96698.14027630181,73702.85082035199
New Maryland,4174,4232,0.01232082827898566,341991050,260663910.0609756,81933.64877815045,62449.427422370776
Nigadoo,963,952,0.01387499599031638,52996700,40393826.219512194,55032.91796469367,41945.821619431146
Norton,1382,1301,0.0116558746457907,73155900,55759070.12195122,52934.80463096961,40346.649871165864
Néguac,1684,1678,0.01308399631062117,123923300,94453734.75609756,73588.65795724465,56088.916125948665
Oromocto,9223,8932,0.01223069726425769,1163468500,886790015.2439024,126148.59590155048,96149.84443715737
Paquetville,720,706,0.01360038486209108,49888000,38024390.24390244,69288.88888888889,52811.65311653116
Perth-Andover,1590,1778,0.01229999891669465,120003100,91465777.43902439,75473.64779874214,57525.64618806565
Petit-Rocher,1897,1908,0.01479641197312719,104313600,79507317.07317074,54988.71903004745,41912.13340704836
Petitcodiac,1383,1429,0.01279399041387455,91194300,69507850.6097561,65939.47939262472,50258.74953706153
Plaster Rock,1023,1135,0.01650760685904923,60189100,45875838.414634146,58835.87487781036,44844.41682759936
Pointe-Verte,886,976,0.01590001284203817,42049400,32049847.56097561,47459.81941309255,36173.64284534493
Port Elgin,408,418,0.01429530497213213,23817750,18153772.86585366,58376.83823529412,44494.54133787662
Quispamsis,18245,17886,0.01279966609511455,1683952600,1283500457.317073,92296.66209920526,70348.06562439425
Rexton,830,818,0.01297900944378948,81598600,62194054.878048785,98311.56626506025,74932.596238613
Richibucto,1266,1286,0.01327800376419161,107061500,81601753.04878049,84566.74565560822,64456.361017994066
Riverside-Albert,350,353,0.01405549137689431,21943950,16725571.646341464,62697.0,47787.34756097561
Riverview,19667,19128,0.01582617627466833,1484775450,1131688605.182927,75495.77719021711,57542.513102299636
Rivière-Verte,724,744,0.01257445514194121,38383850,29255983.231707316,53016.367403314915,40408.81661838027
Rogersville,1166,1170,0.01484699818685858,53801650,41007355.182926826,46142.066895368785,35169.258304396935
Rothesay,11659,11947,0.01220000027055194,1256690300,957843216.4634147,107787.14297967235,82154.83458816491
Sackville,5331,5558,0.01550000055622629,629240300,479603887.19512194,118034.19621084224,89965.08857533707
Saint Andrews,1786,1889,0.01190003183803967,294280053,224298820.88414633,164770.46640537513,125587.24573580422
Saint George,1517,1543,0.01380000672899712,133749500,101943216.46341464,88167.10613052077,67200.5382092384
Saint John,67575,70063,0.0178500000135367,6770480331,5160427081.554878,100192.0877691454,76365.92055575107
Saint-Antoine,1733,1770,0.01244424652883521,108688300,82841692.07317074,62716.84939411425,47802.47667234318
Saint-François-de-Madawaska,470,533,0.01571999994080713,33787850,25752934.451219514,71889.0425531915,54793.4775557862
Saint-Hilaire,252,303,0.01359079531351886,26147550,19929535.06097561,103760.11904761905,79085.45659117306
Saint-Isidore,764,748,0.01259999668953645,48331600,36838109.75609756,63261.25654450262,48217.421146724555
Saint-Louis-de-Kent,856,930,0.01425600737798923,58769400,44793750.0,68655.84112149532,52329.147196261685
Saint-Léolin,647,684,0.01548697670872365,19017850,14495312.5,29393.89489953632,22403.883307573415
Saint-Léonard,1300,1343,0.01502199680793542,76658850,58429001.52439024,58968.346153846156,44945.3857879925
Saint-Quentin,2194,2095,0.01430042697531303,130159750,99207126.52439025,59325.319051959894,45217.468789603576
Sainte-Anne-de-Madawaska,957,1002,0.01471656783550904,42319650,32255830.792682927,44221.15987460815,33705.15234345134
Sainte-Marie-Saint-Raphaël,879,955,0.01469998561227349,33014250,25163300.30487805,37558.87372013652,28627.190335469906
Salisbury,2284,2208,0.009800286001244878,171502750,130718559.45121951,75088.76970227671,57232.293980393835
Shediac,6664,6062,0.01473717112853492,655048850,499275038.1097561,98296.64615846338,74921.22420614588
Shippagan,2580,2631,0.01509999879994021,229155250,174661013.7195122,88819.86434108527,67698.06733314427
St. Martins,276,314,0.01218836360104436,21620950,16479382.62195122,78336.77536231885,59707.9080505479
St. Stephen,4415,4817,0.01579999879507078,340268950,259351333.84146342,77071.10985277464,58743.2239731514
Stanley,412,419,0.01420176510522743,29460000,22454268.292682927,71504.85436893204,54500.651195832346
Sussex,4282,4312,0.01260604576437129,407941800,310931250.0,95268.98645492761,72613.55674918262
Sussex Corner,1461,1495,0.01219999608728171,99674950,75971760.67073171,68223.7850787132,51999.836188043606
