year,municipality,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj
2000,Alma,312,308,0.01174444715163408,11541284,12135945.320715038,36991.294871794875,38897.26064331743
2000,Aroostook,397,409,0.01207397150681559,8124750,8543375.394321768,20465.36523929471,21519.837265294125
2000,Atholville,1376,1474,0.01110130066607104,108574755,114169037.8548896,78906.07194767441,82971.68448756511
2000,Baker-Brook,629,649,0.01314997234131203,18312510,19256056.782334387,29113.68839427663,30613.762770006975
2000,Balmoral,1975,1949,0.01390000668404518,44883000,47195583.59621452,22725.569620253165,23896.498023399756
2000,Bas-Caraquet,1775,1849,0.01326220795192316,39802950,41853785.48895899,22424.197183098593,23579.597458568445
2000,Bath,629,653,0.01330002171474524,18287113,19229351.20925342,29073.31160572337,30571.305579099237
2000,Bathurst,13815,14409,0.01540999999363262,706727450,743141377.4973713,51156.52913499819,53792.35450578149
2000,Belledune,2060,2125,0.009197414653965154,201582300,211968769.71608835,97855.4854368932,102897.46102722736
2000,Beresford,4720,4367,0.01467631094244084,132131297,138939323.86961097,27993.918855932203,29436.297430002323
2000,Bertrand,1379,1310,0.01308180359827881,29828150,31365036.803364884,21630.27556200145,22744.769255522035
2000,Blacks Harbour,1148,1139,0.01376606514307741,44362350,46648107.25552051,38643.162020905926,40634.23976961717
2000,Blackville,957,938,0.01085510714759006,32070250,33722660.357518405,33511.23301985371,35237.88961078203
2000,Bouctouche,2459,2364,0.01049999519712496,95567758,100491859.09568876,38864.48068320456,40866.96181199217
2000,Cambridge-Narrows,634,534,0.01080381399906296,35125651,36935490.01051525,55403.23501577287,58257.87067904614
2000,Campbellton,8404,8699,0.01498322247434514,320324350,336828969.50578344,38115.70085673489,40079.6013214878
2000,Canterbury,415,422,0.01238989731501162,8127186,8545936.908517351,19583.580722891566,20592.619056668318
2000,Cap-Pelé,2242,2181,0.01190400465069746,78164620,82192029.4426919,34863.79125780553,36660.13802082601
2000,Caraquet,4653,4556,0.01361600109988944,192019300,201913038.90641433,41267.84869976359,43394.16267062419
2000,Centreville,559,529,0.03725358991479542,24976707,26263624.605678238,44681.05008944544,46983.22827491635
2000,Charlo,1610,1597,0.01336325464974786,43221806,45448797.05573081,26845.842236024844,28229.06649424274
2000,Chipman,1518,1615,0.01229998691958139,55082335,57920436.382755004,36286.1231884058,38155.75519285574
2000,Clair,905,903,0.01036801215492067,34087923,35844293.37539433,37666.21325966851,39606.954005960586
2000,Dalhousie,4500,4775,0.01453019344967091,272997673,287063799.1587803,60666.14955555555,63791.95536861784
2000,Dieppe,12497,10463,0.01499900024039234,769725036,809384895.8990537,61592.78514843562,64766.33559246649
2000,Doaktown,986,1090,0.01169999764777833,42513000,44703470.03154574,43116.63286004057,45338.204900147815
2000,Dorchester,1179,848,0.01235516328418678,30906269,32498705.57308097,26213.968617472434,27564.63577021287
2000,Drummond,983,1007,0.01184591430349084,31662900,33294321.76656152,32210.478128179042,33870.11369945221
2000,Edmundston,17814,10835,0.01417343846358525,859970291,904280011.566772,48274.96862018637,50762.32241870282
2000,Eel River Crossing,1446,1467,0.01179999324120591,32047137,33698356.466876976,22162.612033195022,23304.53420945849
2000,Florenceville-Bristol,1414,1418,0.01120675984412086,106481982,111968435.3312303,75305.50353606789,79185.5978297244
2000,Fredericton,47154,47016,0.01365311303052562,3067724255,3225787860.147214,65057.561500615004,68409.63354428498
