year,cpi_2002,cpi_deflator_2002,municipality,police_provider_2024,latest_census_pop,penult_census_pop,average_tax_rate,rateable_tax_base,rateable_tax_base_adj,rateable_tax_base_capita,rateable_tax_base_capita_adj,general_govt_exp,police_exp,fire_protection_exp,water_cost_exp,emergency_exp,other_protection_exp,transportation_exp,environ_health_exp,public_health_exp,environ_dev_exp,rec_and_culture_exp,debt_exp,transfers_exp,deficits_exp,total_exp,warrant_rev,uncond_grant_rev,other_govt_serv_rev,sale_of_serv_rev,own_source_rev,cond_transfer_rev,other_transfer_rev,biennial_surplus_rev,total_rev
2000,95.1,1.0515247108307046,Alma,PPSA,312,308,0.01174444715163408,11541284,12135945.320715038,36991.294871794875,38897.26064331743,40545.0,26832,21000,0,700,1200,64300,19748,100,1900,23737,2655.0,7139,0,209856.0,135546,24054,10312,19000,200,7131,0,13613,209856
2000,95.1,1.0515247108307046,Aroostook,PPSA,397,409,0.01207397150681559,8124750,8543375.394321768,20465.36523929471,21519.837265294125,32519.0,34142,13550,7498,0,150,36624,18161,0,200,1076,8253.0,0,3897,156070.0,98098,45972,0,0,7000,0,5000,0,156070
2000,95.1,1.0515247108307046,Atholville,MPSA,1376,1474,0.01110130066607104,108574755,114169037.8548896,78906.07194767441,82971.68448756511,243065.0,118336,68982,139530,12000,4800,285539,64949,0,109864,246181,127590.0,8000,0,1428836.0,1205321,147504,0,3200,69743,0,0,3068,1428836
2000,95.1,1.0515247108307046,Baker-Brook,PPSA,629,649,0.01314997234131203,18312510,19256056.782334387,29113.68839427663,30613.762770006975,69541.0,54094,30269,47615,0,0,84848,17330,0,9179,13051,38312.0,0,0,364239.0,240809,80393,36180,0,6800,0,0,57,364239
2000,95.1,1.0515247108307046,Balmoral,PPSA,1975,1949,0.01390000668404518,44883000,47195583.59621452,22725.569620253165,23896.498023399756,162180.0,169850,47552,174852,0,2500,208738,68696,0,9486,20150,81448.0,0,0,945452.0,623874,225039,85425,0,4096,0,0,7018,945452
2000,95.1,1.0515247108307046,Bas-Caraquet,PPSA,1775,1849,0.01326220795192316,39802950,41853785.48895899,22424.197183098593,23579.597458568445,208461.0,152650,33200,50000,0,4000,193601,51600,0,18516,55420,71410.0,0,0,838858.0,527875,248957,50425,100,11100,0,0,401,838858
2000,95.1,1.0515247108307046,Bath,PPSA,629,653,0.01330002171474524,18287113,19229351.20925342,29073.31160572337,30571.305579099237,51393.0,54094,22610,26148,4000,2000,81110,28404,0,15996,50839,12406.0,0,3504,352504.0,243219,54724,18855,24450,5256,6000,0,0,352504
2000,95.1,1.0515247108307046,Bathurst,municipal,13815,14409,0.01540999999363262,706727450,743141377.4973713,51156.52913499819,53792.35450578149,1842913.0,2987787,1283826,449383,700,110000,3080283,265940,0,337378,2324421,2205922.0,118288,111188,15118029.0,10890670,2899352,136321,914303,277383,0,0,0,15118029
2000,95.1,1.0515247108307046,Belledune,PPSA,2060,2125,0.009197414653965154,201582300,211968769.71608835,97855.4854368932,102897.46102722736,323791.0,177160,150195,26000,300689,7000,355170,139755,0,174045,259865,171976.0,206950,0,2292596.0,1854036,47172,311019,57000,21725,0,0,1644,2292596
2000,95.1,1.0515247108307046,Beresford,municipal,4720,4367,0.01467631094244084,132131297,138939323.86961097,27993.918855932203,29436.297430002323,335900.0,593943,69440,8000,300,22212,589589,151496,0,93684,232534,475579.0,57917,7187,2637781.0,1939200,558068,68193,72320,0,0,0,0,2637781
2000,95.1,1.0515247108307046,Bertrand,PPSA,1379,1310,0.01308180359827881,29828150,31365036.803364884,21630.27556200145,22744.769255522035,102010.0,118594,25800,0,0,0,171200,61300,0,7950,47050,61717.0,0,59823,655444.0,390206,154866,76322,23700,6350,4000,0,0,655444
2000,95.1,1.0515247108307046,Blacks Harbour,PPSA,1148,1139,0.01376606514307741,44362350,46648107.25552051,38643.162020905926,40634.23976961717,152621.0,224026,65669,58008,2568,2730,129017,42375,3000,47186,100276,96383.0,53000,0,976859.0,610695,184734,26700,63584,59008,18900,11691,1547,976859
2000,95.1,1.0515247108307046,Blackville,PPSA,957,938,0.01085510714759006,32070250,33722660.357518405,33511.23301985371,35237.88961078203,117064.0,146000,41700,0,600,3500,111532,37795,0,4700,31000,1000.0,13000,0,507891.0,348126,89042,55235,0,13476,0,0,2012,507891
2000,95.1,1.0515247108307046,Bouctouche,MPSA,2459,2364,0.01049999519712496,95567758,100491859.09568876,38864.48068320456,40866.96181199217,237707.0,237500,47189,25752,0,7525,538014,93288,0,97153,171722,62404.0,197075,0,1715329.0,1003461,210794,70825,100700,55618,0,265751,8180,1715329
2000,95.1,1.0515247108307046,Cambridge-Narrows,PPSA,634,534,0.01080381399906296,35125651,36935490.01051525,55403.23501577287,58257.87067904614,111885.0,54524,28950,0,5600,1400,177500,34565,4000,19500,12000,500.0,0,0,450424.0,379491,48820,0,0,1300,0,0,20813,450424
2000,95.1,1.0515247108307046,Campbellton,MPSA,8404,8699,0.01498322247434514,320324350,336828969.50578344,38115.70085673489,40079.6013214878,977248.0,1560091,462113,25000,3500,86542,1818317,295125,0,193024,1174055,1448340.0,41750,0,8085105.0,4799491,2056130,297645,161008,354998,17500,393566,4767,8085105
