Year,CPI,Deflator
2000,95.1,1.4363827549947423
2001,96.8,1.4111570247933884
2002,100.0,1.3659999999999999
2003,103.4,1.3210831721470018
2004,104.9,1.302192564346997
2005,107.4,1.2718808193668527
2006,109.2,1.250915750915751
2007,111.3,1.2273135669362085
2008,113.2,1.2067137809187278
2009,113.5,1.2035242290748898
2010,115.9,1.1786022433132008
2011,120.0,1.1383333333333332
2012,122.0,1.1196721311475408
2013,123.0,1.110569105691057
2014,124.8,1.094551282051282
2015,125.4,1.0893141945773523
2016,128.2,1.0655226209048363
2017,131.2,1.041158536585366
2018,134.0,1.019402985074627
2019,136.3,1.0022010271460013
2020,136.6,1.0
